"test 135"
-2.72234006173,2.00258875721 -0.936098954355,3.21471367923 -2.75844879277,4.18580988148 -0.599741563696,1.32474821808 -0.959094183385,4.31058516217 -0.684853692883,2.28033552739 -2.86338718125,3.28642090432
"Base Result" ['success']
"Base Time" [19.63116693496704]
"Eband Result" ['fail_bumped']
"Eband Time" [30.342981815338135]
"TEB Result" ['fail_noFinding']
"TEB Time" [50.516788959503174]
"DWA Result" ['fail_noFinding']
"DWA Time" [49.38032102584839]
"PIPS Result" ['success']
"PIPS Time" [34.0480580329895]
