"test 175"
-3.56925152432,2.01389889122 -2.84482956869,1.150736955 -0.994890693753,4.11653651939 -1.61379043005,3.15747896955 -2.78597633858,2.05465355816 -1.81201551728,1.20374981356 -3.83608615045,4.33422151421
"Base Result" ['fail_noFinding']
"Base Time" [129.38727402687073]
"Eband Result" ['success']
"Eband Time" [57.77675199508667]
"TEB Result" ['success']
"TEB Time" [39.85455083847046]
"DWA Result" ['fail_noFinding']
"DWA Time" [129.69060492515564]
"PIPS Result" ['success']
"PIPS Time" [88.51483702659607]
