"test 152"
-1.96969040502,4.26198851516 -3.82672171498,3.07133164266 -1.74566976784,3.13933092841 -1.84131656342,2.47577365536 -0.849297717859,3.44883609523 -2.55698551048,1.34567990735 -3.50213987628,4.13344571117
"Base Result" ['fail_noFinding']
"Base Time" [76.82424807548523]
"Eband Result" ['fail_bumped']
"Eband Time" [45.9260618686676]
"TEB Result" ['success']
"TEB Time" [40.01970887184143]
"DWA Result" ['fail_noFinding']
"DWA Time" [80.32135701179504]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [78.01367402076721]
