"test 120"
-2.62410245637,1.08328554897 -1.64892859421,4.04645410386 -0.784183627677,2.37185280516 -3.64098125333,3.0885301634 -3.87695325453,4.23371808982 -2.61001963358,3.00489509856 -2.84616143889,4.23596800906
"Base Result" ['success']
"Base Time" [26.71445393562317]
"Eband Result" ['fail_bumped']
"Eband Time" [23.23825693130493]
"TEB Result" ['success']
"TEB Time" [27.150770902633667]
"DWA Result" ['fail_noFinding']
"DWA Time" [47.323265075683594]
"PIPS Result" ['success']
"PIPS Time" [31.909327030181885]
