"test 105"
-1.58652862702,1.22988282748 -1.59373017838,2.20131416583 -0.804921658791,2.00709283277 -1.5285944545,4.18927183974 -0.911522794706,4.34204205722 -3.81670960946,3.49301845418 -3.96257285705,4.09852648864
"Base Result" ['success']
"Base Time" [17.444018125534058]
"Eband Result" ['success']
"Eband Time" [18.931973934173584]
"TEB Result" ['success']
"TEB Time" [13.785850048065186]
"DWA Result" ['success']
"DWA Time" [14.690034866333008]
"PIPS Result" ['success']
"PIPS Time" [27.143344163894653]
