"test 26"
-1.57326326821,4.40154655294 -3.62496856354,2.0609250987 -1.8849411563,1.38095045045 -2.52809101864,4.08015744281 -0.981749213934,2.21952090405 -1.96133596103,2.45078427011 -0.779520722778,4.43673987286 -3.72373619523,3.14645352533 -0.723138872994,3.3793687385
"Base Result" ['fail_noFinding']
"Base Time" [349.5160331726074]
"Eband Result" ['fail_noFinding']
"Eband Time" [350.1567509174347]
"TEB Result" ['fail_noFinding']
"TEB Time" [350.75946593284607]
"DWA Result" ['fail_noFinding']
"DWA Time" [348.8614749908447]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [349.4001770019531]
