"test 90"
-1.75864609566,4.39890257135 -2.54898278665,3.23874526275 -0.705740290252,3.16102899715 -3.89421221014,2.34427694077 -3.52693234894,4.10847692254 -2.71274891209,2.03830911732 -0.957933685292,1.30236164233
"Base Result" ['success']
"Base Time" [18.83403491973877]
"Eband Result" ['fail_noFinding']
"Eband Time" [45.41209387779236]
"TEB Result" ['success']
"TEB Time" [16.399766206741333]
"DWA Result" ['fail_noFinding']
"DWA Time" [45.16286301612854]
"PIPS Result" ['success']
"PIPS Time" [29.84533405303955]
