"test 98"
-2.59862790811,2.22160845732 -2.97672751779,3.33388949111 -3.96092200324,1.05468248286 -0.580221296108,4.18502545198 -3.89562422166,4.37302853542 -3.80132004238,3.00299144206 -1.75126571625,4.22289667999
"Base Result" ['fail_noFinding']
"Base Time" [45.097285985946655]
"Eband Result" ['success']
"Eband Time" [21.452282905578613]
"TEB Result" ['success']
"TEB Time" [15.15605902671814]
"DWA Result" ['fail_noFinding']
"DWA Time" [45.10500979423523]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [45.12414908409119]
