"test 25"
-2.55621483443,1.35177725886 -0.76893390143,4.26897463717 -3.84744975627,2.30706263422 -1.9996513415,3.22154924561 -2.68232048033,2.3131413507 -3.55552396865,3.3904963871 -0.727959389518,2.20114086876 -2.58587792904,4.28133939779 -1.50824812875,2.20775888656
"Base Result" ['fail_noFinding']
"Base Time" [343.66719794273376]
"Eband Result" ['fail_noFinding']
"Eband Time" [342.822035074234]
"TEB Result" ['fail_noFinding']
"TEB Time" [343.54386711120605]
"DWA Result" ['fail_noFinding']
"DWA Time" [342.63344502449036]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [344.23664903640747]
