"test 91"
-2.8767938404,3.44421672414 -2.73872090113,1.39492216689 -1.59388800101,1.22013776702 -0.608843341551,2.2031271183 -1.52041440016,4.49977194077 -2.89052553858,4.06091041089 -3.55835712335,2.02575163563
"Base Result" ['success']
"Base Time" [17.388471126556396]
"Eband Result" ['success']
"Eband Time" [18.892503023147583]
"TEB Result" ['success']
"TEB Time" [13.786823987960815]
"DWA Result" ['success']
"DWA Time" [14.889325857162476]
"PIPS Result" ['success']
"PIPS Time" [27.642385959625244]
