"test 122"
-3.59232729503,1.10090851702 -0.730975584741,4.05425063046 -1.72082758854,4.00449077074 -2.73434504003,2.19845033709 -3.94961773511,3.39376145858 -2.66869008899,3.34991333704 -3.53448777359,2.41750777309
"Base Result" ['success']
"Base Time" [18.43167495727539]
"Eband Result" ['fail_bumped']
"Eband Time" [29.84791398048401]
"TEB Result" ['fail_bumped']
"TEB Time" [27.30586004257202]
"DWA Result" ['fail_noFinding']
"DWA Time" [45.462427854537964]
"PIPS Result" ['success']
"PIPS Time" [29.24953317642212]
