"test 21"
-2.81488276968,4.32239520497 -1.71569463277,1.35304007174 -1.74013630255,4.29933339214 -0.768464660018,3.34602245371 -2.63149107394,2.28323224851 -2.62611825446,1.39312602213 -1.95235278265,2.21651844907 -0.533635052534,4.14396090098 -3.78263406659,1.42147619755
"Base Result" ['fail_noFinding']
"Base Time" [317.87999391555786]
"Eband Result" ['fail_noFinding']
"Eband Time" [318.2895429134369]
"TEB Result" ['fail_noFinding']
"TEB Time" [318.64619517326355]
"DWA Result" ['fail_noFinding']
"DWA Time" [318.8044638633728]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [320.142187833786]
