"test 162"
-1.56186815422,2.47047007753 -3.71025172973,1.24519026376 -2.92606877048,1.09601392056 -3.72743447635,4.4138602319 -3.53449460181,2.37543249758 -0.575910213403,3.33070920455 -0.974367882441,1.036756833
"Base Result" ['success']
"Base Time" [61.29197597503662]
"Eband Result" ['fail_bumped']
"Eband Time" [51.90008783340454]
"TEB Result" ['success']
"TEB Time" [34.51498484611511]
"DWA Result" ['fail_noFinding']
"DWA Time" [97.1695671081543]
"PIPS Result" ['success']
"PIPS Time" [62.98277688026428]
