"test 23"
-0.89303553555,4.14149365386 -3.95335657821,4.13519331576 -2.7795184796,2.18247322453 -3.95707457802,2.09207158786 -0.746224227934,2.28873696764 -1.82503451149,3.45856749318 -2.54504573014,1.32802611904 -1.64764747733,1.32769183045 -2.58641286335,3.37663312697
"Base Result" ['fail_noFinding']
"Base Time" [332.0027630329132]
"Eband Result" ['fail_noFinding']
"Eband Time" [332.8279960155487]
"TEB Result" ['fail_noFinding']
"TEB Time" [331.6126620769501]
"DWA Result" ['fail_noFinding']
"DWA Time" [333.1977391242981]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [333.2771921157837]
