"test 172"
-0.796556143073,4.07547352899 -3.67084329019,2.40426041717 -2.69587069619,3.35728408365 -1.6053424338,3.47708340133 -3.65813270937,4.46874985882 -1.88538301976,1.27292290722 -2.80259964014,2.33792276177
"Base Result" ['success']
"Base Time" [46.72644090652466]
"Eband Result" ['fail_noFinding']
"Eband Time" [128.1035521030426]
"TEB Result" ['fail_bumped']
"TEB Time" [72.39531302452087]
"DWA Result" ['fail_noFinding']
"DWA Time" [121.08931684494019]
"PIPS Result" ['success']
"PIPS Time" [80.2065258026123]
