"test 181"
-2.97059289732,1.34181863711 -2.51319154608,4.41379854054 -0.721519451187,4.12900227389 -2.96560096495,3.21792863373 -0.540590664276,3.35984864553 -1.74703397216,3.23869134464 -1.84225729344,1.40205080396
"Base Result" ['success']
"Base Time" [83.3094379901886]
"Eband Result" ['success']
"Eband Time" [60.84234404563904]
"TEB Result" ['success']
"TEB Time" [46.064318895339966]
"DWA Result" ['fail_noFinding']
"DWA Time" [147.78937482833862]
"PIPS Result" ['success']
"PIPS Time" [89.91938996315002]
