"test 101"
-1.80778371437,4.23964596474 -3.71146870649,2.27929696122 -1.85750593849,3.42805684647 -0.795351935208,4.20536022817 -2.58848609261,1.49596942354 -3.5538709053,4.02498318854 -2.58690647606,3.35171947008
"Base Result" ['success']
"Base Time" [17.462998151779175]
"Eband Result" ['success']
"Eband Time" [18.96110486984253]
"TEB Result" ['success']
"TEB Time" [14.050825834274292]
"DWA Result" ['fail_noFinding']
"DWA Time" [45.1046929359436]
"PIPS Result" ['success']
"PIPS Time" [27.43932318687439]
