"test 156"
-0.922260316223,2.01229711952 -2.66100151235,3.26049815511 -1.75007117902,2.34604625055 -0.515873458774,1.11314503165 -1.6269377524,3.43888727149 -3.6528837677,3.27328114776 -3.67168696791,2.23830572458
"Base Result" ['success']
"Base Time" [32.752663135528564]
"Eband Result" ['fail_noFinding']
"Eband Time" [91.24998617172241]
"TEB Result" ['fail_noFinding']
"TEB Time" [86.67096900939941]
"DWA Result" ['fail_noFinding']
"DWA Time" [84.04734516143799]
"PIPS Result" ['success']
"PIPS Time" [54.0072340965271]
