"test 187"
-0.852013804359,4.2127667731 -2.93207638368,3.38193770527 -2.80293853529,4.2006594136 -1.72810234813,4.1366081623 -3.99491237697,1.00208200027 -2.81793762411,1.18313502273 -0.802271617805,3.39273881957
"Base Result" ['fail_noFinding']
"Base Time" [162.16931104660034]
"Eband Result" ['fail_noFinding']
"Eband Time" [170.354994058609]
"TEB Result" ['fail_noFinding']
"TEB Time" [162.59612703323364]
"DWA Result" ['fail_noFinding']
"DWA Time" [161.74773597717285]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [161.8784098625183]
