"test 176"
-1.82851651725,2.32283889323 -0.819352822175,3.23807743959 -3.65589757962,2.40174316923 -2.58311175379,4.41112274051 -1.57040891434,4.10046014438 -2.70568666423,1.28561112168 -1.9485219213,3.45185662793
"Base Result" ['success']
"Base Time" [51.604015827178955]
"Eband Result" ['fail_bumped']
"Eband Time" [82.20907402038574]
"TEB Result" ['success']
"TEB Time" [65.69363903999329]
"DWA Result" ['fail_noFinding']
"DWA Time" [132.72079801559448]
"PIPS Result" ['success']
"PIPS Time" [85.01703095436096]
