"test 1"
-3.95705362721,2.44209579333 -0.584998801449,3.29768961019 -0.787622076415,4.39043033117 -1.97627634432,4.16156481662 -1.5312455084,1.36194773474 -0.904957328012,2.32034629786 -3.55723718824,3.38055755456 -3.57560939122,1.18751579242 -2.77625038847,4.2090905102
"Base Result" ['fail_noFinding']
"Base Time" [209.7441029548645]
"Eband Result" ['fail_noFinding']
"Eband Time" [210.78916192054749]
"TEB Result" ['fail_noFinding']
"TEB Time" [210.43814992904663]
"DWA Result" ['fail_noFinding']
"DWA Time" [210.0729479789734]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [211.00947308540344]
