"test 24"
-0.838545321777,2.24074265927 -1.679927595,3.24657980703 -0.815985794898,4.08593748019 -3.7552998407,3.216037147 -2.98441120604,3.29900581696 -3.79746629564,4.27411356341 -1.97438172677,4.20670886562 -2.62171530377,2.31498287353 -3.99312601086,2.10229461016
"Base Result" ['fail_noFinding']
"Base Time" [337.85205602645874]
"Eband Result" ['fail_noFinding']
"Eband Time" [337.94134283065796]
"TEB Result" ['fail_noFinding']
"TEB Time" [338.3555941581726]
"DWA Result" ['fail_noFinding']
"DWA Time" [337.5364019870758]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [337.34142804145813]
