"test 5"
-2.9883089753,4.41225380496 -2.79654353056,1.31475478822 -2.72226981722,2.24623540322 -3.69851911908,4.15661376818 -1.73996667071,3.26740958833 -3.60014894696,1.3758515699 -1.61946074976,4.29289739167 -0.667363753036,2.01757676894 -3.93206993489,3.00139597613
"Base Result" ['fail_noFinding']
"Base Time" [229.2459270954132]
"Eband Result" ['fail_noFinding']
"Eband Time" [229.75380492210388]
"TEB Result" ['fail_noFinding']
"TEB Time" [229.58668994903564]
"DWA Result" ['fail_noFinding']
"DWA Time" [231.03415298461914]
"PIPS Result" ['fail_noFinding']
"PIPS Time" [231.4427011013031]
