"test 112"
-0.76798750812,3.02255730182 -3.90727531743,3.12067535151 -0.920077875774,1.30349962308 -3.54569658795,1.20153561143 -1.84784607301,3.46820914567 -2.53546981086,2.290088978 -2.61106027013,4.3317155347
"Base Result" ['fail_noFinding']
"Base Time" [45.16737604141235]
"Eband Result" ['fail_noFinding']
"Eband Time" [45.35692811012268]
"TEB Result" ['success']
"TEB Time" [19.23603582382202]
"DWA Result" ['fail_noFinding']
"DWA Time" [45.320109128952026]
"PIPS Result" ['success']
"PIPS Time" [32.95821213722229]
