"test 177"
-3.60254820408,3.3621865741 -1.94095931712,4.45313622552 -0.953211635378,1.14327227527 -2.93288464538,4.10955509802 -0.859496954583,3.28582797388 -2.80797999852,1.45810606764 -2.80296251211,2.41384896433
"Base Result" ['success']
"Base Time" [54.071614027023315]
"Eband Result" ['fail_noFinding']
"Eband Time" [140.18907594680786]
"TEB Result" ['fail_noFinding']
"TEB Time" [134.9843327999115]
"DWA Result" ['fail_noFinding']
"DWA Time" [136.0366668701172]
"PIPS Result" ['success']
"PIPS Time" [90.82014513015747]
