"test 157"
-2.96354537019,2.42637709555 -1.50098819027,2.02175384036 -2.6893984483,1.08208783388 -0.977505495534,3.45335339933 -0.9929919228,1.19604088008 -1.94027122467,3.23918944509 -2.62907693987,3.36499971376
"Base Result" ['fail_noFinding']
"Base Time" [87.00143003463745]
"Eband Result" ['fail_noFinding']
"Eband Time" [91.67888903617859]
"TEB Result" ['fail_noFinding']
"TEB Time" [89.92154479026794]
"DWA Result" ['fail_noFinding']
"DWA Time" [85.74610304832458]
"PIPS Result" ['success']
"PIPS Time" [55.604748010635376]
